,availableBikes,departs,id,lat,lng,stAddress,totalDocks
0,8,45,281,40.7643971,-73.97371465,Grand Army Plaza & Central Park S,57
1,6,32,72,40.76727216,-73.99392888,W 52 St & 11 Ave,39
2,8,23,79,40.71911552,-74.00666661,Franklin St & W Broadway,33
3,0,0,82,40.71117416,-74.00016545,St James Pl & Pearl St,0
4,13,49,83,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,62
5,14,5,119,40.69608941,-73.97803415,Park Ave & St Edwards St,19
6,0,19,120,40.68676793,-73.95928168,Lexington Ave & Classon Ave,19
7,20,11,127,40.73172428,-74.00674436,Barrow St & Hudson St,31
8,20,9,128,40.72710258,-74.00297088,MacDougal St & Prince St,30
9,1,23,143,40.69239502,-73.99337909,Clinton St & Joralemon St,24
10,0,19,144,40.69839895,-73.98068914,Nassau St & Navy St,19
11,5,34,146,40.71625008,-74.0091059,Hudson St & Reade St,39
12,1,26,150,40.7208736,-73.98085795,E 2 St & Avenue C,29
13,6,20,151,40.722103786686034,-73.99724900722504,Cleveland Pl & Spring St,33
14,14,3,157,40.69089272,-73.99612349,Henry St & Atlantic Ave,23
15,0,47,164,40.75323098,-73.97032517,E 47 St & 2 Ave,47
16,0,43,167,40.7489006,-73.97604882,E 39 St & 3 Ave,45
17,6,39,168,40.73971301,-73.99456405,W 18 St & 6 Ave,47
18,6,43,173,40.76068327096592,-73.9845272898674,Broadway & W 49 St,51
19,2,26,174,40.7381765,-73.97738662,E 25 St & 1 Ave,30
20,5,38,195,40.70905623,-74.01043382,Liberty St & Broadway,45
21,2,26,212,40.74334935,-74.00681753,W 16 St & The High Line,28
22,0,23,216,40.70037867,-73.99548059,Columbia Heights & Cranberry St,23
23,24,11,217,40.70277159,-73.99383605,Old Fulton St,39
24,2,31,223,40.73781509,-73.99994661,W 13 St & 7 Ave,33
25,4,50,228,40.7546011026,-73.971878855,E 48 St & 3 Ave,54
26,19,4,229,40.72743423,-73.99379025,Great Jones St,23
27,0,21,232,40.69597683,-73.99014892,Cadman Plaza E & Tillary St,23
28,10,27,236,40.7284186,-73.98713956,St Marks Pl & 2 Ave,39
29,14,22,237,40.73047309,-73.98672378,E 11 St & 2 Ave,39
30,17,11,238,40.7361967,-74.00859207,Bank St & Washington St,31
31,9,20,239,40.69196566,-73.9813018,Willoughby St & Fleet St,31
32,2,20,241,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave,23
33,14,8,242,40.697787,-73.973736,Carlton Ave & Flushing Ave,23
34,15,15,243,40.688226,-73.979382,Fulton St & Rockwell Pl,31
35,14,17,244,40.69196035,-73.96536851,Willoughby Ave & Hall St,31
36,3,20,245,40.69327018,-73.97703874,Myrtle Ave & St Edwards St,23
37,12,8,247,40.73535398,-74.00483091,Perry St & Bleecker St,20
38,6,16,248,40.72185379,-74.00771779,Laight St & Hudson St,23
39,2,25,249,40.71870987,-74.0090009,Harrison St & Hudson St,27
40,2,24,251,40.72317958,-73.99480012,Mott St & Prince St,27
41,17,15,252,40.73226398,-73.99852205,MacDougal St & Washington Sq,33
